emp_no,first_name,last_name,gender,birth_date,from_date,to_date
31207,Abdelwaheb,Dulin,F,1965-01-30,1993-08-05,9999-01-01
31341,Oksana,Zultner,M,1965-01-01,1991-03-23,9999-01-01
31514,Harngdar,Schapire,M,1965-01-13,1996-11-09,9999-01-01
31568,Mark,Lalonde,M,1965-01-10,1996-11-24,9999-01-01
31909,Murthy,Peek,M,1965-01-10,2000-10-30,9999-01-01
32347,Terresa,Peres,M,1965-01-08,1990-09-15,9999-01-01
32552,Atreye,Stanger,M,1965-01-17,1993-09-10,9999-01-01
32649,Ingmar,Nannarelli,M,1965-01-12,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,M,1965-01-16,2001-09-18,9999-01-01
32844,Tadahiko,Melton,M,1965-01-23,1995-01-07,9999-01-01
33025,Jessie,Thorelli,M,1965-01-12,1999-12-16,9999-01-01
33215,Steen,Fasbender,M,1965-01-29,1993-02-14,9999-01-01
33722,Anwar,Collette,M,1965-01-15,2001-02-03,9999-01-01
34077,Angel,Sichman,F,1965-01-08,1988-11-16,9999-01-01
34261,Kyoichi,Callaway,M,1965-01-05,1990-12-30,9999-01-01
34446,Chinhyun,Bauknecht,M,1965-01-31,1986-12-19,9999-01-01
34452,Naftaly,Foong,M,1965-01-08,1991-05-10,9999-01-01
34505,Felicidad,Kumaresan,F,1965-01-28,1994-09-06,9999-01-01
34533,Erzsebet,Shigei,M,1965-01-10,1995-01-16,9999-01-01
34780,Moni,Kohling,F,1965-01-16,2001-09-18,9999-01-01
34788,Ennio,Babu,F,1965-01-27,1994-08-31,9999-01-01
34936,Bokyung,Stamatiou,F,1965-01-12,1991-02-12,9999-01-01
35044,Jiang,Waschkowski,F,1965-01-04,1989-05-27,9999-01-01
35087,Leif,Ashish,M,1965-01-17,1994-10-14,9999-01-01
35441,Chandrasekaran,Peek,F,1965-01-31,1990-09-17,9999-01-01
35642,Ashish,Talmon,F,1965-01-30,1999-02-28,9999-01-01
35793,Oscar,Kusalik,M,1965-01-01,1991-05-11,9999-01-01
35798,Ulf,Oberman,F,1965-01-29,1997-03-15,9999-01-01
36521,Serif,Gladwell,M,1965-01-21,1987-03-06,9999-01-01
36626,Fen,Genin,M,1965-01-02,1986-05-09,9999-01-01
36733,Uma,Reinhard,M,1965-01-04,1997-11-01,9999-01-01
36844,Hailing,Levergood,M,1965-01-01,2000-01-12,9999-01-01
36982,Kotesh,Rajala,M,1965-01-22,1992-06-23,9999-01-01
37070,Jeong,Undy,F,1965-01-22,1985-02-13,9999-01-01
37945,Suzette,Butterworth,M,1965-01-02,1994-02-19,9999-01-01
38043,Michaela,Randi,M,1965-01-05,1985-11-23,9999-01-01
38103,Masasuke,Babu,M,1965-01-12,1988-03-31,9999-01-01
38168,Fumiko,Deverell,M,1965-01-14,1987-08-15,9999-01-01
38550,JoAnne,Baez,F,1965-01-14,1987-02-16,9999-01-01
38593,Huei,Orsini,M,1965-01-14,1986-06-04,9999-01-01
38947,Shuichi,Ruemmler,F,1965-01-25,1998-04-08,9999-01-01
39000,Martijn,Vendrig,M,1965-01-08,1997-03-03,9999-01-01
39036,Changho,Cappelli,F,1965-01-08,1996-05-04,9999-01-01
39301,Rimon,Kawashima,F,1965-01-07,1992-02-06,9999-01-01
39341,Mahmut,Lampe,F,1965-01-01,1985-05-11,9999-01-01
39952,Otmar,Sudbeck,M,1965-01-02,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,F,1965-01-10,1991-12-05,9999-01-01
40283,Sudhanshu,Boissier,M,1965-01-07,1985-05-11,9999-01-01
40301,Spyrose,Felder,M,1965-01-20,1997-10-20,9999-01-01
40536,Harngdar,Bernardinello,F,1965-01-20,1988-02-29,9999-01-01
40765,Michaela,Ramsak,F,1965-01-01,1992-12-21,9999-01-01
40773,Shimshon,Aingworth,M,1965-01-09,1986-04-13,9999-01-01
40983,Marla,Cherinka,F,1965-01-17,1986-12-01,9999-01-01
41114,Petter,Thummel,M,1965-01-25,1995-12-24,9999-01-01
41137,Bikash,Buchter,F,1965-01-20,1996-01-08,9999-01-01
41357,Willard,Vernadat,M,1965-01-06,1997-03-04,9999-01-01
41518,Keung,Schapiro,F,1965-01-11,2001-02-08,9999-01-01
41520,Xiong,Uhrik,M,1965-01-20,1988-03-21,9999-01-01
41609,Yucai,Simmen,F,1965-01-04,1987-10-13,9999-01-01
42778,Shuji,Remmers,F,1965-01-19,1987-12-18,9999-01-01
42911,Brigham,Eterovic,M,1965-01-29,1994-10-08,9999-01-01
42950,Shaleah,Eickenmeyer,F,1965-01-22,1993-10-09,9999-01-01
42955,Yucel,Lortz,M,1965-01-12,1995-02-21,9999-01-01
43154,Maha,Waterhouse,F,1965-01-13,1997-07-04,9999-01-01
43733,Huei,Boguraev,M,1965-01-26,1993-12-31,9999-01-01
43848,Phillip,Oxenboll,M,1965-01-11,1999-05-26,9999-01-01
44054,Alenka,Ritcey,M,1965-01-18,1997-02-09,9999-01-01
44265,Maria,Eppinger,M,1965-01-24,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,F,1965-01-16,1989-11-12,9999-01-01
44900,Mark,Schwaller,F,1965-01-05,1994-08-10,9999-01-01
44959,Volkmar,Uhrik,F,1965-01-21,1988-01-16,9999-01-01
44962,Sariel,Wynblatt,F,1965-01-16,1996-05-18,9999-01-01
45162,Dulce,Speel,F,1965-01-11,1987-10-19,9999-01-01
46000,Zhaofang,Penn,F,1965-01-26,1997-07-24,9999-01-01
46328,Wuxu,Trogemann,F,1965-01-05,1997-01-27,9999-01-01
46811,Junsik,Berendt,M,1965-01-10,1988-04-27,9999-01-01
46834,Tooru,Daescu,M,1965-01-22,1998-03-20,9999-01-01
46943,Pasqua,Maraist,F,1965-01-31,1993-12-06,9999-01-01
47016,Toong,Litecky,F,1965-01-03,1989-03-01,9999-01-01
47139,Marco,Usdin,F,1965-01-25,1996-10-29,9999-01-01
47262,Gonzalo,Binkley,M,1965-01-10,1985-08-16,9999-01-01
47515,Naraig,Jenevein,M,1965-01-26,1987-01-18,9999-01-01
47702,Juyoung,Vieri,F,1965-01-21,1991-08-12,9999-01-01
47708,Edwin,Haldar,M,1965-01-05,1995-07-12,9999-01-01
48275,Sariel,Massonet,F,1965-01-29,1987-11-20,9999-01-01
48690,Hitomi,Schaap,M,1965-01-12,1999-09-27,9999-01-01
48882,Leen,Lamparter,M,1965-01-28,1993-06-07,9999-01-01
48904,Yuichiro,Malabarba,M,1965-01-23,1994-03-07,9999-01-01
48947,Filipp,Akaboshi,M,1965-01-05,1992-05-20,9999-01-01
49010,Kazuhisa,Benantar,F,1965-01-16,1990-03-30,9999-01-01
49017,Filipp,Flanders,F,1965-01-07,1990-11-26,9999-01-01
49119,Lena,Peek,F,1965-01-09,1991-05-16,9999-01-01
49177,Tze,Bach,M,1965-01-03,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,M,1965-01-14,1999-09-10,9999-01-01
49477,Baocai,Leaver,F,1965-01-14,1998-08-05,9999-01-01
50293,Xinan,Rindone,M,1965-01-26,1996-10-08,9999-01-01
50311,Mooi,Stafford,M,1965-01-24,1996-10-06,9999-01-01
50453,Aron,Harbusch,F,1965-01-12,1997-10-02,9999-01-01
50670,Boguslaw,Snedden,F,1965-01-30,1985-02-20,9999-01-01
50831,Marie,Khalid,M,1965-01-06,1996-06-11,9999-01-01
51036,Chriss,Fasbender,F,1965-01-29,1995-05-23,9999-01-01
51057,Theirry,Albarhamtoshy,M,1965-01-29,1991-09-27,9999-01-01
51060,Youngkon,Rohrbach,M,1965-01-15,1989-10-20,9999-01-01
51142,Rosine,Lakshmanan,F,1965-01-29,1986-01-31,9999-01-01
52038,Chikako,Armand,M,1965-01-13,1985-05-18,9999-01-01
52040,Phule,Heijenga,M,1965-01-14,1996-12-08,9999-01-01
52283,Trygve,Krupka,M,1965-01-20,1994-03-11,9999-01-01
52386,Adas,Denti,M,1965-01-28,1986-05-30,9999-01-01
52590,Jouni,Munoz,M,1965-01-21,1996-10-07,9999-01-01
52599,Augustine,Mungall,F,1965-01-25,1994-01-13,9999-01-01
52639,Arup,Colorni,M,1965-01-09,1996-02-05,9999-01-01
52770,Shugo,Yurek,M,1965-01-31,1992-08-28,9999-01-01
52778,Alain,Penn,M,1965-01-15,1986-05-03,9999-01-01
52956,Khalil,Picci,F,1965-01-31,1998-11-24,9999-01-01
52970,Lobel,Werthner,M,1965-01-22,1988-03-17,9999-01-01
53278,Premsyl,Lortz,M,1965-01-31,1993-02-01,9999-01-01
53314,Eberhardt,Carrera,F,1965-01-06,1999-02-23,9999-01-01
53431,Sham,Vasanthakumar,M,1965-01-12,1993-05-24,9999-01-01
53499,Zdislav,Mandelberg,F,1965-01-20,1994-09-11,9999-01-01
53597,Jiafu,Marchegay,M,1965-01-30,1985-03-02,9999-01-01
53874,Bodo,Schade,M,1965-01-23,1986-02-14,9999-01-01
53924,Arnould,Gaughan,F,1965-01-27,1991-01-23,9999-01-01
54198,Shaowen,Segond,M,1965-01-01,1986-01-06,9999-01-01
54632,Etsuo,Serot,M,1965-01-19,1989-06-14,9999-01-01
54795,Sumant,Nergos,F,1965-01-29,1994-03-02,9999-01-01
54800,Breannda,Cangellaris,M,1965-01-13,2000-01-27,9999-01-01
55640,Adit,Syrotiuk,F,1965-01-25,1993-07-16,9999-01-01
55687,Shih,Lindqvist,M,1965-01-02,1995-03-29,9999-01-01
55799,Jianwen,Litzler,F,1965-01-23,1987-06-17,9999-01-01
55857,Adin,Scallan,M,1965-01-18,1987-09-15,9999-01-01
56105,Makato,Remmers,F,1965-01-11,1989-04-16,9999-01-01
56209,Remzi,Douceur,M,1965-01-19,1992-12-01,9999-01-01
56415,Sigeru,Nivat,M,1965-01-30,1991-10-24,9999-01-01
56428,Olivera,Hanabata,M,1965-01-27,1986-11-10,9999-01-01
56682,Roded,Picco,F,1965-01-28,1993-11-06,9999-01-01
56829,Nagui,Gruenwald,M,1965-01-09,1997-06-14,9999-01-01
56847,Menkae,Chinin,M,1965-01-14,1998-08-27,9999-01-01
57934,Sanjoy,Boudaillier,M,1965-01-25,1989-12-27,9999-01-01
58141,Bezalel,Karner,M,1965-01-05,1994-09-27,9999-01-01
58147,Shigenori,Sullins,M,1965-01-09,1988-02-24,9999-01-01
58384,Mariusz,Vural,F,1965-01-22,1993-11-14,9999-01-01
58454,Ziya,Zambonelli,M,1965-01-25,1999-06-29,9999-01-01
58497,Yechiam,Cairo,M,1965-01-22,2000-10-21,9999-01-01
58819,Gennady,Liesche,F,1965-01-04,1987-12-02,9999-01-01
58990,Palash,Trelles,M,1965-01-04,1998-11-18,9999-01-01
59195,Ronnie,Pollock,M,1965-01-08,1990-06-19,9999-01-01
59640,Zita,Hiltgen,F,1965-01-18,1999-01-26,9999-01-01
59869,Zsolt,Riefers,M,1965-02-01,1987-09-25,9999-01-01
59966,Steen,Salvesen,M,1965-01-28,1993-02-03,9999-01-01
60000,Heekeun,Emmart,M,1965-01-16,1995-09-23,9999-01-01
60091,Surveyors,Bade,F,1965-02-01,1990-04-11,9999-01-01
60238,Erzsebet,Claffy,F,1965-01-23,1999-02-19,9999-01-01
60559,Jeanna,Stemann,M,1965-01-19,1988-08-29,9999-01-01
60821,Moty,Mersereau,F,1965-01-02,1991-09-03,9999-01-01
60845,Bedir,Siegrist,F,1965-01-14,1997-05-13,9999-01-01
60875,Rildo,Masaki,F,1965-01-21,1990-01-14,9999-01-01
60959,Tetsushi,Sridhar,M,1965-01-09,1989-10-19,9999-01-01
61147,Leszek,Werthner,M,1965-01-30,1999-03-03,9999-01-01
61253,Cheong,Uhrik,M,1965-01-09,2002-05-09,9999-01-01
61377,Dannz,Ohori,M,1965-01-01,1997-04-13,9999-01-01
61541,Kasidit,Papsdorf,M,1965-01-08,1993-08-17,9999-01-01
61873,Woody,Rusmann,M,1965-01-19,1993-02-26,9999-01-01
62033,Heeju,Cappelli,M,1965-01-24,1987-01-15,9999-01-01
62046,Karlis,Nanard,M,1965-01-31,1992-09-19,9999-01-01
62245,Adel,Bressoud,F,1965-01-01,1995-08-30,9999-01-01
63294,Tetsushi,Tanemo,M,1965-01-23,1997-03-01,9999-01-01
63419,Hiroyasu,Seuren,F,1965-01-14,1989-03-05,9999-01-01
63441,Hinrich,Scallan,F,1965-01-15,1999-04-04,9999-01-01
63566,Heekeun,Slaats,F,1965-01-31,1999-01-12,9999-01-01
63631,Falguni,Cherinka,M,1965-01-22,1987-10-15,9999-01-01
63706,Sedat,Itzigehl,F,1965-01-26,1997-07-31,9999-01-01
64023,Laurentiu,Benzmuller,M,1965-01-11,1999-11-08,9999-01-01
64209,Golgen,Schoegge,M,1965-01-24,1988-02-26,9999-01-01
64487,Tsutomu,Rebaine,M,1965-01-27,1986-09-17,9999-01-01
64532,Atilio,Segond,M,1965-01-23,1990-11-29,9999-01-01
64632,Zsolt,Brender,F,1965-01-07,1996-02-21,9999-01-01
64790,Shin,Piveteau,M,1965-01-29,1985-04-19,9999-01-01
64828,Krister,Pappas,F,1965-01-27,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,F,1965-01-06,1994-08-04,9999-01-01
65171,Jeane,Tasistro,M,1965-01-25,1994-07-06,9999-01-01
65539,Aksel,Picaronny,M,1965-01-23,1991-01-27,9999-01-01
65883,Patricia,Pepe,M,1965-01-07,1991-04-19,9999-01-01
65998,Mandell,Alameldin,F,1965-01-09,1989-04-08,9999-01-01
66382,Domenico,Candan,F,1965-01-04,1997-07-13,9999-01-01
66530,Dung,Leaver,M,1965-01-29,1998-04-04,9999-01-01
66643,Jianhao,Tomescu,F,1965-01-18,1996-08-26,9999-01-01
66702,Deniz,Thibadeau,F,1965-02-01,1994-09-27,9999-01-01
66757,Yonghong,Baig,M,1965-01-16,1999-04-10,9999-01-01
66807,Aiman,Rosaz,F,1965-01-21,1990-05-22,9999-01-01
67320,Sadok,Lorys,M,1965-01-18,1987-05-10,9999-01-01
67548,Fumitaka,Roohalamini,M,1965-01-11,1998-06-27,9999-01-01
67934,Aiman,Gargeya,M,1965-01-07,1985-03-07,9999-01-01
68416,Munenori,Debuse,F,1965-01-27,1990-11-08,9999-01-01
68608,Yucai,Seghrouchni,M,1965-01-26,1989-06-09,9999-01-01
68633,Chinhyun,Rassart,F,1965-01-28,1993-07-29,9999-01-01
68648,Jaques,DiGiano,M,1965-01-25,1992-04-01,9999-01-01
69052,Shietung,Shrader,M,1965-01-26,1995-08-05,9999-01-01
69219,Shuky,Redmiles,F,1965-01-09,1994-11-19,9999-01-01
69867,Miyeon,Rothe,M,1965-01-22,1991-04-09,9999-01-01
69878,Chinya,Cooke,M,1965-01-24,1997-01-29,9999-01-01
69936,Lalit,Unni,F,1965-01-23,1999-01-31,9999-01-01
70469,Tru,Miyakawa,M,1965-01-12,1990-09-03,9999-01-01
70990,Arumugam,Nitta,F,1965-01-22,1990-03-23,9999-01-01
71066,Domenick,Basart,F,1965-01-27,1996-01-05,9999-01-01
71141,Sajjad,Vitiello,F,1965-01-02,1992-02-17,9999-01-01
71188,Pranjal,Schapiro,M,1965-01-02,1986-12-14,9999-01-01
71243,Kinh,Buchter,F,1965-01-10,1986-03-29,9999-01-01
71334,Cathie,Peck,M,1965-01-15,2001-03-04,9999-01-01
71685,Kristinn,Olano,F,1965-01-01,1989-10-03,9999-01-01
71710,Hitomi,Takanami,F,1965-01-31,1997-12-15,9999-01-01
71745,Adil,Laventhal,M,1965-01-02,1992-05-13,9999-01-01
72190,Sajjad,Waeselynck,F,1965-01-19,1999-09-13,9999-01-01
72194,Feiyu,Siepmann,M,1965-01-26,1998-10-01,9999-01-01
72232,Naraig,Veldwijk,F,1965-01-10,1989-07-10,9999-01-01
72640,Honglan,Hutton,F,1965-01-24,1993-10-04,9999-01-01
72918,Takahira,Szilard,M,1965-01-22,1988-01-16,9999-01-01
73076,Froduald,Feldhoffer,F,1965-01-22,1993-03-16,9999-01-01
73233,Shigeo,Merey,F,1965-01-15,1985-07-30,9999-01-01
73516,Qingxiang,Badache,F,1965-01-14,1989-06-25,9999-01-01
73743,Anneke,Bernardeschi,M,1965-01-15,2000-10-15,9999-01-01
74200,Holgard,Weiland,F,1965-01-16,1991-09-24,9999-01-01
74344,Hiroyasu,Provine,M,1965-02-01,1994-11-25,9999-01-01
74668,Masako,Bonifati,F,1965-01-01,1987-04-09,9999-01-01
74800,Yuuichi,Conde,F,1965-01-25,1989-03-08,9999-01-01
75354,Shuky,Jakobus,M,1965-01-11,1986-06-16,9999-01-01
75703,Kyoichi,Erman,M,1965-01-08,1996-07-25,9999-01-01
76189,Kolar,Hinsberger,F,1965-01-02,1986-10-20,9999-01-01
76201,Arif,Preusig,M,1965-01-10,1992-04-02,9999-01-01
76640,Tristan,Mitsuhashi,M,1965-01-02,1994-07-13,9999-01-01
77030,Faiza,Garnham,F,1965-01-02,1986-03-02,9999-01-01
77303,Xinglin,Birge,F,1965-01-18,1992-03-05,9999-01-01
77647,Niranjan,Schaaf,F,1965-01-07,1989-11-05,9999-01-01
77815,Ronghao,Picaronny,M,1965-01-21,1993-06-09,9999-01-01
78106,Ashish,Ratnaker,M,1965-01-09,2000-01-17,9999-01-01
78363,Susumu,Fritzsche,M,1965-01-03,1998-06-23,9999-01-01
78469,Leucio,Cappelli,M,1965-01-28,1997-08-22,9999-01-01
78871,Conor,Ghandeharizadeh,M,1965-01-15,1985-05-25,9999-01-01
79043,Katsuo,Hockney,M,1965-01-24,1999-11-07,9999-01-01
79171,Guiseppe,Ellozy,M,1965-01-19,1991-01-12,9999-01-01
79310,Jeong,Cunliffe,F,1965-01-24,1996-10-27,9999-01-01
79606,Arnd,Peir,F,1965-01-03,1986-12-11,9999-01-01
79763,Sanjoy,Barreiro,M,1965-01-20,1988-04-09,9999-01-01
79895,Fei,Murtagh,M,1965-01-30,1986-01-19,9999-01-01
80067,Kazuhisa,Weiland,M,1965-01-19,1985-11-09,9999-01-01
80203,Shakhar,Baik,M,1965-01-22,1993-12-01,9999-01-01
80432,Stella,Figueira,F,1965-01-17,1990-03-14,9999-01-01
80731,Shaowen,Eldridge,M,1965-01-25,1987-12-05,9999-01-01
80850,Koldo,Luit,M,1965-02-01,1995-04-16,9999-01-01
80889,Shigeo,Linnainmaa,F,1965-01-07,1985-07-30,9999-01-01
80948,Harjit,Bardell,M,1965-01-27,1991-05-24,9999-01-01
81105,Jaewon,Boissier,M,1965-01-14,1992-05-24,9999-01-01
81545,Larisa,Kornyak,M,1965-01-13,2000-02-07,9999-01-01
81644,Divine,Ghandeharizadeh,M,1965-01-05,1997-11-28,9999-01-01
81995,Sreekrishna,Brender,M,1965-01-10,1990-03-22,9999-01-01
82069,Yechezkel,Perfilyeva,F,1965-01-20,1994-11-03,9999-01-01
82098,Poornachandra,Wilharm,F,1965-01-25,1991-04-20,9999-01-01
82351,Stevo,Thambidurai,F,1965-01-26,1989-10-27,9999-01-01
82511,Uwe,Koblick,F,1965-01-27,1998-04-04,9999-01-01
82919,Shigeu,Claffy,M,1965-01-05,1998-12-19,9999-01-01
82928,Alselm,Rikino,F,1965-01-27,1990-11-16,9999-01-01
83280,Francesca,Ellozy,M,1965-01-07,1999-08-08,9999-01-01
83289,Shigeichiro,Engelmann,M,1965-01-09,1994-01-09,9999-01-01
83509,Breannda,Collavizza,M,1965-01-04,1989-10-12,9999-01-01
83544,Leaf,Baak,M,1965-01-18,1994-09-05,9999-01-01
83714,Ohad,Kilgore,M,1965-01-27,2000-10-10,9999-01-01
83805,Manohar,Harllee,F,1965-01-23,1987-03-11,9999-01-01
83941,Zsolt,Hagimont,F,1965-01-11,1996-10-08,9999-01-01
84029,Babette,Eugenio,F,1965-01-27,1997-09-21,9999-01-01
84179,Shuichi,Nanard,F,1965-01-25,1989-03-14,9999-01-01
84236,Eberhardt,Barriga,F,1965-01-18,1987-06-04,9999-01-01
84315,Kristina,Baumann,M,1965-01-23,1996-09-26,9999-01-01
84451,Shiv,Aumann,M,1965-01-20,1998-06-14,9999-01-01
84508,Tommaso,Vidya,M,1965-01-17,1998-05-02,9999-01-01
84840,Sverrir,Neimat,M,1965-01-14,1996-11-03,9999-01-01
84922,Parke,Unno,F,1965-01-22,1996-07-01,9999-01-01
84942,Shin,Fujisaki,F,1965-01-15,1988-02-23,9999-01-01
85216,Ferdinand,Rosiles,F,1965-01-18,1997-07-08,9999-01-01
85288,Younwoo,Luders,M,1965-01-06,1998-12-08,9999-01-01
85414,Chiradeep,Callaway,F,1965-01-14,1999-07-30,9999-01-01
85445,Yongdong,Pollock,M,1965-01-09,1998-03-17,9999-01-01
85702,Udi,Merks,M,1965-01-04,1997-08-15,9999-01-01
85874,Pasqua,Taubman,F,1965-01-30,1986-06-23,9999-01-01
86213,Kristine,Clemencon,M,1965-01-28,1993-06-01,9999-01-01
86354,Ronghao,Segond,F,1965-01-27,1993-09-13,9999-01-01
86422,Jaewon,Thummel,F,1965-02-01,1985-09-14,9999-01-01
86546,Oldrich,Woycyznski,F,1965-01-09,1985-05-15,9999-01-01
